"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","May 2019","Savannah, GA","11,110"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","All Districts","2,227,386"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","Charleston, SC","30,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","Houston-Galveston, TX","262,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","New York City, NY","1,449,886"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","Norfolk, VA","361,500"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","2019 through May","Savannah, GA","124,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","January 2019","All Districts","206,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","January 2019","Charleston, SC","24,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","January 2019","Houston-Galveston, TX","16,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","January 2019","New York City, NY","136,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","January 2019","Norfolk, VA","30,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","February 2019","All Districts","344,168"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","February 2019","Charleston, SC","6,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","February 2019","Houston-Galveston, TX","6,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","February 2019","New York City, NY","282,168"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","February 2019","Savannah, GA","50,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","March 2019","All Districts","570,718"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","March 2019","Houston-Galveston, TX","120,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","March 2019","New York City, NY","325,718"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","March 2019","Norfolk, VA","96,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","March 2019","Savannah, GA","29,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","April 2019","All Districts","732,500"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","April 2019","Houston-Galveston, TX","90,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","April 2019","New York City, NY","476,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","April 2019","Norfolk, VA","126,500"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","April 2019","Savannah, GA","40,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","May 2019","All Districts","374,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","May 2019","Houston-Galveston, TX","30,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","May 2019","New York City, NY","230,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","May 2019","Norfolk, VA","109,000"
"3915 Waste, Parings And Scrap, Of Plastics","Senegal","May 2019","Savannah, GA","5,000"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","2019 through May","All Districts","25,128"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","2019 through May","Los Angeles, CA","16,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","2019 through May","New York City, NY","2,728"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","2019 through May","San Francisco, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","January 2019","All Districts","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","January 2019","San Francisco, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","February 2019","All Districts","10,000"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","February 2019","Los Angeles, CA","10,000"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","April 2019","All Districts","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","April 2019","Los Angeles, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","May 2019","All Districts","2,728"
"3915 Waste, Parings And Scrap, Of Plastics","South Africa","May 2019","New York City, NY","2,728"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","2019 through May","All Districts","76,926"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","2019 through May","Savannah, GA","56,926"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","January 2019","All Districts","35,500"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","January 2019","Savannah, GA","35,500"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","February 2019","All Districts","15,700"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","February 2019","Savannah, GA","15,700"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","March 2019","All Districts","10,000"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","April 2019","All Districts","15,726"
"3915 Waste, Parings And Scrap, Of Plastics","Tanzania","April 2019","Savannah, GA","5,726"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","All Districts","71,857,899"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Charleston, SC","7,469,998"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Detroit, MI","186,005"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Houston-Galveston, TX","8,134,333"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Los Angeles, CA","16,412,666"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","New York City, NY","15,946,435"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Norfolk, VA","6,840,143"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","San Francisco, CA","4,412,699"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Savannah, GA","5,971,112"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","2019 through May","Seattle, WA","1,721,244"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","All Districts","13,227,764"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Charleston, SC","1,675,106"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Detroit, MI","33,000"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Houston-Galveston, TX","2,178,023"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Los Angeles, CA","2,842,608"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","New York City, NY","2,592,179"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Norfolk, VA","1,064,596"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","San Francisco, CA","944,557"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Savannah, GA","933,632"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","January 2019","Seattle, WA","193,048"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","All Districts","13,290,157"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Charleston, SC","1,554,866"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Detroit, MI","52,197"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Houston-Galveston, TX","1,701,713"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Los Angeles, CA","2,481,070"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","New York City, NY","2,820,459"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Norfolk, VA","1,312,678"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","San Francisco, CA","835,103"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Savannah, GA","1,251,934"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","February 2019","Seattle, WA","317,530"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","All Districts","13,715,838"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Charleston, SC","1,180,566"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Houston-Galveston, TX","1,886,939"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Los Angeles, CA","2,921,896"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","New York City, NY","3,373,856"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Norfolk, VA","1,150,561"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","San Francisco, CA","816,489"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Savannah, GA","1,092,806"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","March 2019","Seattle, WA","362,508"
"3915 Waste, Parings And Scrap, Of Plastics","Asia","April 2019","All Districts","15,571,576"
